codlogradouro;nome_logradouro_concatenado;nome_oficial_logradouro;nome_logradouro_resumido;cod_indica_pavimentacao;desc_indica_pavimentacao;indica_corredor_transporte;indica_perimetral;codbairro;nomeBairro
55042;RUA BARAO DO SERRO AZUL;Rua Barão do Serro Azul;R. Barão do Serro Azul;N;Via Não Pavimentada;;;850;AREIAS
55050;RUA SERROLANDIA;Rua Serrolândia;R. Serrolandia;N;Via Não Pavimentada;;;884;COHAB
55069;RUA TUPANACI;Rua Tupanaci;R. Tupanaci;X;Não definida;;;620;CORREGO DO JENIPAPO
55077;RUA SETE PECADOS;Rua Sete Pecados;R. Sete Pecados;S;Via Pavimentada;;;329;ARRUDA
55085;RUA SETE DE SETEMBRO;Rua Sete de Setembro;R. Sete de Setembro;S;Via Pavimentada;;;86;BOA VISTA
55093;RUA SETUBAL;Rua Setubal;R. Setubal;S;Via Pavimentada;;;205;BOA VIAGEM
55107;RUA ITAPARICA;Rua Itaparica;R. Itaparica;S;Via Pavimentada;;;388;LINHA DO TIRO
55115;RUA SAO SEVERINO;Rua São Severino;R. São Severino;N;Via Não Pavimentada;;;795;MANGUEIRA
55123;RUA SEVERINO ABELARDO DE FREITAS;Rua Severino Abelardo de Freitas;R. Severino Abelardo de Freitas;S;Via Pavimentada;;;892;TEJIPIO
55140;RUA SEVERINO BERNARDINO PEREIRA;Rua Severino Bernardino Pereira;R. Severino Bernardino Pereira;S;Via Pavimentada;;;515;MANGABEIRA
55140;RUA SEVERINO BERNARDINO PEREIRA;Rua Severino Bernardino Pereira;R. Severino Bernardino Pereira;S;Via Pavimentada;;;523;ALTO JOSE DO PINHO
55158;RUA SEVERINO CARNEIRO;Rua Severino Carneiro;R. Severino Carneiro;S;Via Pavimentada;;;337;AGUA FRIA
55166;RUA SEVERINO GLACES;Rua Severino Glacês;R. Severino Glaces;X;Não definida;;;850;AREIAS
55174;RUA DR SEVERINO JATOBA;Rua Dr Severino Jatobá;R. Dr Severino Jatoba;P;Via Parcialmente Pavimentada;;;809;BONGI
55174;RUA DR SEVERINO JATOBA;Rua Dr Severino Jatobá;R. Dr Severino Jatoba;P;Via Parcialmente Pavimentada;;;663;PRADO
55182;1TR DAS PALMEIRAS;1ª Travessa das Palmeiras;1Tr das Palmeiras;S;Via Pavimentada;;;736;VARZEA
55190;RUA AVIADOR SEVERIANO LINS;Rua Aviador Severiano Lins;R. Aviador Severiano Lins;P;Via Parcialmente Pavimentada;;;205;BOA VIAGEM
55204;RUA SEVERINO MEIRA;Rua Severino Meira;R. Severino Meira;S;Via Pavimentada;;;876;BARRO
55212;RUA SEVERINO PESSOA;Rua Severino Pessoa;R. Severino Pessoa;S;Via Pavimentada;;;647;MADALENA
55220;RUA DR SEVERINO PINHEIRO;Rua Dr Severino Pinheiro;R. Dr Severino Pinheiro;S;Via Pavimentada;CTUP;;647;MADALENA
55239;RUA SEVERINO VAREJAO;Rua Severino Varejão;R. Severino Varejao;S;Via Pavimentada;;;922;COQUEIRAL
55247;RUA SIBAUNA;Rua Sibauna;R. Sibauna;P;Via Parcialmente Pavimentada;;;736;VARZEA
55263;RUA SIDERAL;Rua Sideral;R. Sideral;P;Via Parcialmente Pavimentada;;;205;BOA VIAGEM
55271;RUA SABU;Rua Sabu;R. Sabu;X;Não definida;;;736;VARZEA
55280;RUA SIGISMUNDO CABRAL DE MELO;Rua Sigismundo Cabral de Melo;R. Sigismundo Cabral de Melo;S;Via Pavimentada;;;817;SAN MARTIN
55298;RUA SIGISMUNDO GONCALVES;Rua Sigismundo Goncalves;R. Sigismundo Gonçalves;S;Via Pavimentada;;;680;CORDEIRO
55301;RUA SYLO BITTENCOURT;Rua Sylo Bittencourt;R. Sylo Bittencourt;S;Via Pavimentada;;;205;BOA VIAGEM
55310;RUA MONSENHOR SILVA;Rua Monsenhor Silva;R. Monsenhor Silva;S;Via Pavimentada;;;647;MADALENA
55328;RUA DR SILVA FERREIRA;Rua Dr Silva Ferreira;R. Dr Silva Ferreira;S;Via Pavimentada;;;108;SANTO AMARO
55344;RUA DR SILVA FILHO;Rua Dr Silva Filho;R. Dr Silva Filho;S;Via Pavimentada;;;892;TEJIPIO
55352;RUA MAJOR SILVA CASTRO;Rua Major Silva Castro;R. Major Silva Castro;S;Via Pavimentada;;;230;IBURA
55360;RUA SILVA JARDIM;Rua Silva Jardim;R. Silva Jardim;N;Via Não Pavimentada;;;221;JORDAO
55360;RUA SILVA JARDIM;Rua Silva Jardim;R. Silva Jardim;N;Via Não Pavimentada;;;230;IBURA
55379;RUA RAUL AZEDO;Rua Raul Azedo;R. Raul Azedo;S;Via Pavimentada;;;205;BOA VIAGEM
55387;RUA SILVA RABELO;Rua Silva Rabelo;R. Silva Rabelo;S;Via Pavimentada;;;884;COHAB
55395;RUA SILVA RAMOS;Rua Silva Ramos;R. Silva Ramos;N;Via Não Pavimentada;;;86;BOA VISTA
55409;RUA CORONEL SILVA TORRES;Rua Coronel Silva Torres;R. Cel Silva Torres;S;Via Pavimentada;;;140;DERBY
55417;RUA SANTA SILVANA;Rua Santa Silvana;R. Santa Silvana;S;Via Pavimentada;;;396;DOIS UNIDOS
55425;TRV RORAIMA;Travessa Roraima;Trv Roraima;S;Via Pavimentada;;;736;VARZEA
55433;RUA SILVANO;Rua Silvano;R. Silvano;S;Via Pavimentada;;;949;ALTO SANTA TEREZINHA
55441;RUA SILVEIRA DE CARVALHO;Rua Silveira de Carvalho;R. Silveira de Carvalho;S;Via Pavimentada;;;191;TAMARINEIRA
55450;RUA SILVEIRA LIRA;Rua Silveira Lira;R. Silveira Lira;S;Via Pavimentada;;;191;TAMARINEIRA
55492;RUA CONS SILVEIRA DE SOUZA;Rua Conselheiro Silveira de Souza;R. Cons Silveira de Souza;P;Via Parcialmente Pavimentada;;;698;IPUTINGA
55492;RUA CONS SILVEIRA DE SOUZA;Rua Conselheiro Silveira de Souza;R. Cons Silveira de Souza;P;Via Parcialmente Pavimentada;;;680;CORDEIRO
55506;RUA SILVEIRANIA;Rua Silveirânia;R. Silveirania;N;Via Não Pavimentada;;;825;JIQUIA
55514;RUA DOM SILVERIO;Rua Dom Silverio;R. Dom Silverio;S;Via Pavimentada;;;205;BOA VIAGEM
55522;RUA SAO SILVESTRE;Rua São Silvestre;R. São Silvestre;P;Via Parcialmente Pavimentada;;;213;IPSEP
55522;RUA SAO SILVESTRE;Rua São Silvestre;R. São Silvestre;P;Via Parcialmente Pavimentada;;;230;IBURA
55530;RUA CORONEL SILVESTRE BASTOS;Rua Coronel Silvestre Bastos;R. Cel Silvestre Bastos;P;Via Parcialmente Pavimentada;;;590;DOIS IRMAOS
55549;RUA PADRE SILVINO GUEDES;Rua Padre Silvino Guedes;R. Padre Silvino Guedes;S;Via Pavimentada;;;132;AFLITOS
55557;RUA SILVINO LIRA;Rua Silvino Lira;R. Silvino Lira;S;Via Pavimentada;;;710;ENGENHO DO MEIO
55565;RUA SILVINO LOPES;Rua Silvino Lopes;R. Silvino Lopes;S;Via Pavimentada;;;442;CASA FORTE
55573;RUA SARGENTO SILVINO MACEDO;Rua Sargento Silvino Macêdo;R. Sgt Sargento Silvino Macêdo;S;Via Pavimentada;;;264;IMBIRIBEIRA
55581;RUA PROFESSOR SILVIO DA CUNHA SANTOS;Rua Professor Sílvio da Cunha Santos;R. Prof Silvio da Cunha Santos;P;Via Parcialmente Pavimentada;;;817;SAN MARTIN
55590;RUA SARGENTO SILVIO DELMAR HOLLEMBACH;Rua Sargento Sílvio Delmar Hollembach;R. Sgt Silvio Delmar Hollembach;P;Via Parcialmente Pavimentada;;;264;IMBIRIBEIRA
55603;RUA PROFESSOR SILVIO RABELO;Rua Professor Sílvio Rabelo;R. Prof Silvio Rabelo;S;Via Pavimentada;;;868;JARDIM SAO PAULO
55638;RUA SAO SIMAO;Rua São Simão;R. São Simao;N;Via Não Pavimentada;;;523;ALTO JOSE DO PINHO
55638;RUA SAO SIMAO;Rua São Simão;R. São Simao;N;Via Não Pavimentada;;;949;ALTO SANTA TEREZINHA
55646;RUA SIMAO BORBA;Rua Simão Borba;R. Simao Borba;S;Via Pavimentada;;;850;AREIAS
55654;RUA EXP SIMAO FERNANDES;Rua Expedicionário Simão Fernandes;R. Exp. Simão Fernandes;S;Via Pavimentada;;;396;DOIS UNIDOS
55662;TRV LUIZ AGONIA;Travessa Luiz Agonia;Trv Luiz Agonia;X;Não definida;;;647;MADALENA
55670;RUA SIMAO MENDES;Rua Simão Mendes;R. Simao Mendes;S;Via Pavimentada;;;191;TAMARINEIRA
55670;RUA SIMAO MENDES;Rua Simão Mendes;R. Simao Mendes;S;Via Pavimentada;;;159;JAQUEIRA
55689;RUA SIMOES NETO;Rua Simões Neto;R. Simoes Neto;S;Via Pavimentada;;;264;IMBIRIBEIRA
55697;RUA PADRE SIMAO TRAVASSOS;Rua Padre Simão Travassos;R. Padre Simao Travassos;S;Via Pavimentada;;;876;BARRO
55719;RUA SIMONSEN;Rua Simonsen;R. Simonsen;S;Via Pavimentada;;;400;PASSARINHO
55727;RUA SIMPLICIO MENDES;Rua Simplício Mendes;R. Simplicio Mendes;S;Via Pavimentada;;;396;DOIS UNIDOS
55751;RUA SINIMBU;Rua Sinimbu;R. Sinimbu;N;Via Não Pavimentada;;;329;ARRUDA
56626;RUA SOLDADO RAMIZ MENDES;Rua Soldado Ramiz Mendes;R. Soldado Ramiz Mendes;S;Via Pavimentada;;;884;COHAB
55760;RUA DO SINO;Rua do Sino;R. do Sino;S;Via Pavimentada;;;531;MORRO DA CONCEICAO
55778;RUA ESTUDANTE SINVAL MEIRA HENRIQUE;Rua Estudante Sinval Meira Henrique;R. Estudante Sinval Meira Henrique;S;Via Pavimentada;;;213;IPSEP
55794;RUA SIQUEIRA CAMPOS;Rua Siqueira Campos;R. Siqueira Campos;S;Via Pavimentada;;;27;SANTO ANTONIO
55816;RUA SIRIJI;Rua Siriji;R. Siriji;S;Via Pavimentada;;;493;ALTO DO MANDU
55816;RUA SIRIJI;Rua Siriji;R. Siriji;S;Via Pavimentada;;;485;MONTEIRO
55840;RUA SITIO ALEGRE;Rua Sítio Alegre;R. Sítio  Alegre;X;Não definida;;;825;JIQUIA
55891;RUA SITIO DOS MOREIRAS;Rua Sítio Dos Moreiras;R. Sítio  Dos Moreiras;S;Via Pavimentada;;;884;COHAB
55921;RUA SOARES DE AZEVEDO;Rua Soares de Azevedo;R. Soares de Azevedo;S;Via Pavimentada;;;442;CASA FORTE
55921;RUA SOARES DE AZEVEDO;Rua Soares de Azevedo;R. Soares de Azevedo;S;Via Pavimentada;;;477;POCO
55930;RUA ALMIRANTE SOARES DUTRA;Rua Almirante Soares Dutra;R. Alm Soares Dutra;N;Via Não Pavimentada;;;329;ARRUDA
55948;RUA SENADOR SOARES MEIRELES;Rua Senador Soares Meireles;R. Sen Soares Meireles;S;Via Pavimentada;;;434;CASA AMARELA
55956;RUA SOARES MORENO;Rua Soares Moreno;R. Soares Moreno;S;Via Pavimentada;;;191;TAMARINEIRA
55972;RUA SOBRAL PINTO;Rua Sobral Pinto;R. Sobral Pinto;S;Via Pavimentada;;;566;NOVA DESCOBERTA
55999;RUA SOBREIRO;Rua Sobreiro;R. Sobreiro;N;Via Não Pavimentada;;;256;BRASILIA TEIMOSA
55999;RUA SOBREIRO;Rua Sobreiro;R. Sobreiro;N;Via Não Pavimentada;;;248;PINA
56006;RUA SODRELANDIA;Rua Sodrelândia;R. Sodrelandia;S;Via Pavimentada;;;388;LINHA DO TIRO
56006;RUA SODRELANDIA;Rua Sodrelândia;R. Sodrelandia;S;Via Pavimentada;;;949;ALTO SANTA TEREZINHA
56006;RUA SODRELANDIA;Rua Sodrelândia;R. Sodrelandia;S;Via Pavimentada;;;337;AGUA FRIA
56014;RUA SODRELIA;Rua Sodrélia;R. Sodrelia;S;Via Pavimentada;;;388;LINHA DO TIRO
56014;RUA SODRELIA;Rua Sodrélia;R. Sodrelia;S;Via Pavimentada;;;949;ALTO SANTA TEREZINHA
56030;RUA DO SOL;Rua do Sol;R. do Sol;S;Via Pavimentada;;;27;SANTO ANTONIO
56049;RUA SOLANEA;Rua Solânea;R. Solanea;S;Via Pavimentada;;;884;COHAB
56057;RUA DR SOLANO CARNEIRO DA CUNHA;Rua Dr Solano Carneiro da Cunha;R. Dr Solano Carneiro da Cunha;P;Via Parcialmente Pavimentada;;;736;VARZEA
56065;RUA POETA SOLANO TRINDADE;Rua Poeta Solano Trindade;R. Poeta Solano Trindade;P;Via Parcialmente Pavimentada;;;418;GUABIRABA
56073;RUA DA SOLEDADE;Rua da Soledade;R. da Soledade;S;Via Pavimentada;;;86;BOA VISTA
56073;RUA DA SOLEDADE;Rua da Soledade;R. da Soledade;S;Via Pavimentada;;;116;SOLEDADE
56081;RUA BARAO DA SOLEDADE;Rua Barão da Soledade;R. Barão da Soledade;N;Via Não Pavimentada;;;698;IPUTINGA
56103;RUA SOLEMAR;Rua Solemar;R. Solemar;S;Via Pavimentada;;;388;LINHA DO TIRO
56111;RUA DOS CARIJOS;Rua dos Carijós;R. dos Carijos;S;Via Pavimentada;;;531;MORRO DA CONCEICAO
56120;RUA SOLIDONIO LEITE;Rua Solidônio Leite;R. Solidonio Leite;S;Via Pavimentada;;;205;BOA VIAGEM
56138;RUA SOLONOPOLIS;Rua Solonópolis;R. Solonopolis;N;Via Não Pavimentada;;;876;BARRO
56146;RUA SOMBRIO;Rua Sombrio;R. Sombrio;S;Via Pavimentada;;;566;NOVA DESCOBERTA
56162;RUA SOROCABA;Rua Sorocaba;R. Sorocaba;S;Via Pavimentada;;;680;CORDEIRO
56170;RUA DO SOSSEGO;Rua do Sossego;R. do Sossego;S;Via Pavimentada;;;108;SANTO AMARO
56170;RUA DO SOSSEGO;Rua do Sossego;R. do Sossego;S;Via Pavimentada;;;86;BOA VISTA
56189;RUA SOUSANIA;Rua Sousânia;R. Sousania;N;Via Não Pavimentada;;;825;JIQUIA
56197;RUA SOUTO FILHO;Rua Souto Filho;R. Souto Filho;S;Via Pavimentada;;;248;PINA
56200;RUA PROFESSOR SOUTO MAIOR;Rua Professor Souto Maior;R. Prof Souto Maior;S;Via Pavimentada;;;191;TAMARINEIRA
56200;RUA PROFESSOR SOUTO MAIOR;Rua Professor Souto Maior;R. Prof Souto Maior;S;Via Pavimentada;;;434;CASA AMARELA
56227;RUA SOUZA DE ANDRADE;Rua Souza de Andrade;R. Souza de Andrade;S;Via Pavimentada;;;167;GRACAS
56235;RUA SOUZA BANDEIRA;Rua Souza Bandeira;R. Souza Bandeira;P;Via Parcialmente Pavimentada;;;655;TORRE
56235;RUA SOUZA BANDEIRA;Rua Souza Bandeira;R. Souza Bandeira;P;Via Parcialmente Pavimentada;;;671;ZUMBI
56235;RUA SOUZA BANDEIRA;Rua Souza Bandeira;R. Souza Bandeira;P;Via Parcialmente Pavimentada;;;680;CORDEIRO
56243;RUA GENERAL SOUZA DOCA;Rua General Souza Doca;R. Gal Souza Doca;P;Via Parcialmente Pavimentada;;;779;AFOGADOS
56251;RUA QUADRO SOUZA LEAO;Rua Quadro Souza Leão;R. Quadro Souza Leao;N;Via Não Pavimentada;;;795;MANGUEIRA
56260;RUA BARAO DE SOUZA LEAO;Rua Barão de Souza Leão;R. Barão de Souza Leão;S;Via Pavimentada;CTUS;;205;BOA VIAGEM
56278;RUA FREI MATIAS TEVIS;Rua Frei Matias Tévis;R. Frei Matias Tévis;S;Via Pavimentada;;;78;ILHA DO LEITE
56278;RUA FREI MATIAS TEVIS;Rua Frei Matias Tévis;R. Frei Matias Tévis;S;Via Pavimentada;;;94;PAISSANDU
56286;AV VISCONDE DE SUASSUNA;Avenida Visconde de Suassuna;Av Visc de Suassuna;S;Via Pavimentada;CTUS;;108;SANTO AMARO
56286;AV VISCONDE DE SUASSUNA;Avenida Visconde de Suassuna;Av Visc de Suassuna;S;Via Pavimentada;CTUS;;86;BOA VISTA
56294;RUA SUMAUMA;Rua Sumauma;R. Sumauma;S;Via Pavimentada;;;337;AGUA FRIA
56308;RUA SUME;Rua Sumé;R. Sume;S;Via Pavimentada;;;531;MORRO DA CONCEICAO
56316;RUA SUSSUARANA;Rua Sussuarana;R. Sussuarana;X;Não definida;;;922;COQUEIRAL
56324;RUA SUBIDA DO S;Rua Subida do S;R. Subida do S;S;Via Pavimentada;;;345;FUNDAO
56340;RUA DA SUCUPIRA;Rua da Sucupira;R. da Sucupira;S;Via Pavimentada;;;493;ALTO DO MANDU
56359;RUA SUDESTE;Rua Sudeste;R. Sudeste;S;Via Pavimentada;;;353;CAJUEIRO
56367;RUA SUDOESTE;Rua Sudoeste;R. Sudoeste;S;Via Pavimentada;;;221;JORDAO
56383;RUA SUELI LUNA MENELAU;Rua Sueli Luna Menelau;R. Sueli Luna Menelau;P;Via Parcialmente Pavimentada;;;264;IMBIRIBEIRA
56391;AV SUL GOV. CID SAMPAIO;Avenida Sul Gov. Cid Sampaio;Av. Sul Gov. Cid Sampaio;S;Via Pavimentada;CTUP;;35;SAO JOSE
56391;AV SUL GOV. CID SAMPAIO;Avenida Sul Gov. Cid Sampaio;Av. Sul Gov. Cid Sampaio;S;Via Pavimentada;CTUP;;51;CABANGA
56391;AV SUL GOV. CID SAMPAIO;Avenida Sul Gov. Cid Sampaio;Av. Sul Gov. Cid Sampaio;S;Via Pavimentada;CTUP;;205;BOA VIAGEM
56391;AV SUL GOV. CID SAMPAIO;Avenida Sul Gov. Cid Sampaio;Av. Sul Gov. Cid Sampaio;S;Via Pavimentada;CTUP;;264;IMBIRIBEIRA
56391;AV SUL GOV. CID SAMPAIO;Avenida Sul Gov. Cid Sampaio;Av. Sul Gov. Cid Sampaio;S;Via Pavimentada;CTUP;;779;AFOGADOS
56421;BEC DO SUPAPO;Beco do Supapo;Bec do Supapo;S;Via Pavimentada;;;108;SANTO AMARO
56430;RUA SUPIA;Rua Supiá;R. Supia;S;Via Pavimentada;;;558;VASCO DA GAMA
56448;RUA SURUBIM;Rua Surubim;R. Surubim;S;Via Pavimentada;;;434;CASA AMARELA
56464;RUA SUZANO;Rua Suzano;R. Suzano;S;Via Pavimentada;;;922;COQUEIRAL
56472;RUA SAO RAFAEL;Rua São Rafael;R. São Rafael;S;Via Pavimentada;;;426;BOMBA DO HEMETERIO
56472;RUA SAO RAFAEL;Rua São Rafael;R. São Rafael;S;Via Pavimentada;;;337;AGUA FRIA
56480;RUA RAFAEL ADOBATTI;Rua Rafael Adobatti;R. Rafael Adobatti;N;Via Não Pavimentada;;;825;JIQUIA
56510;RUA RAIMUNDA COELHO;Rua Raimunda Coelho;R. Raimunda Coelho;N;Via Não Pavimentada;;;787;MUSTARDINHA
56529;RUA DR RAIMUNDO CAVALCANTI UCHOA;Rua Dr Raimundo Cavalcanti Uchôa;R. Dr Raimundo Cavalcanti Uchoa;N;Via Não Pavimentada;;;930;PONTO DE PARADA
56537;AV RAIMUNDO DINIZ;Avenida Raimundo Diniz;Av Raimundo Diniz;S;Via Pavimentada;;;213;IPSEP
56537;AV RAIMUNDO DINIZ;Avenida Raimundo Diniz;Av Raimundo Diniz;S;Via Pavimentada;;;230;IBURA
56553;RUA RAIMUNDO FREIXEIRA;Rua Raimundo Freixeira;R. Raimundo Freixeira;S;Via Pavimentada;;;434;CASA AMARELA
56561;RUA DR RAYMUNDO GOMES GONDIM;Rua Doutor Raymundo Gomes Gondim;R. Dr. Raymundo Gomes Gondim;S;Via Pavimentada;;;205;BOA VIAGEM
56588;RUA RAINHA DOS ANJOS;Rua Rainha dos Anjos;R. Rainha Dos Anjos;S;Via Pavimentada;;;558;VASCO DA GAMA
56600;RUA RAMIRO COSTA;Rua Ramiro Costa;R. Ramiro Costa;N;Via Não Pavimentada;;;663;PRADO
56618;RUA RAMIZ GALVAO;Rua Ramiz Galvão;R. Ramiz Galvao;S;Via Pavimentada;;;329;ARRUDA
56642;RUA RANDOLFO PINTO FERREIRA;Rua Randolfo Pinto Ferreira;R. Randolfo Pinto Ferreira;P;Via Parcialmente Pavimentada;;;809;BONGI
56642;RUA RANDOLFO PINTO FERREIRA;Rua Randolfo Pinto Ferreira;R. Randolfo Pinto Ferreira;P;Via Parcialmente Pavimentada;;;663;PRADO
56650;RUA DO RANGEL;Rua do Rangel;R. do Rangel;S;Via Pavimentada;;;35;SAO JOSE
56650;RUA DO RANGEL;Rua do Rangel;R. do Rangel;S;Via Pavimentada;;;27;SANTO ANTONIO
56669;RUA RAPHAEL DE OLIVEIRA ALVES;Rua Raphael de Oliveira Alves;R. Raphael de Oliveira Alves;S;Via Pavimentada;;;752;CURADO
56669;RUA RAPHAEL DE OLIVEIRA ALVES;Rua Raphael de Oliveira Alves;R. Raphael de Oliveira Alves;S;Via Pavimentada;;;868;JARDIM SAO PAULO
56677;RUA DA RAPOSA;Rua da Raposa;R. da Raposa;S;Via Pavimentada;;;566;NOVA DESCOBERTA
56685;TRV DO RAPOSO;Travessa do Raposo;Trv do Raposo;S;Via Pavimentada;;;35;SAO JOSE
56693;RUA DR RAPOSO PINTO;Rua Doutor Raposo Pinto;R. Dr Raposo Pinto;S;Via Pavimentada;;;213;IPSEP
56707;RUA RAPOSO TAVARES;Rua Raposo Tavares;R. Raposo Tavares;S;Via Pavimentada;;;884;COHAB
56715;RUA SILVA LOBATO;Rua Silva Lobato;R. Silva Lobato;S;Via Pavimentada;;;205;BOA VIAGEM
56723;RUA RAUL CESARIO DE MELO;Rua Raul Cesário de Melo;R. Raul Cesario de Melo;S;Via Pavimentada;;;353;CAJUEIRO
56723;RUA RAUL CESARIO DE MELO;Rua Raul Cesário de Melo;R. Raul Cesario de Melo;S;Via Pavimentada;;;345;FUNDAO
56740;RUA RAUL MORAIS;Rua Raul Morais;R. Raul Morais;P;Via Parcialmente Pavimentada;;;680;CORDEIRO
56758;RUA RAUL POMPEIA;Rua Raul Pompéia;R. Raul Pompeia;S;Via Pavimentada;;;329;ARRUDA
56758;RUA RAUL POMPEIA;Rua Raul Pompéia;R. Raul Pompeia;S;Via Pavimentada;;;337;AGUA FRIA
56766;RUA RATICLIFE;Rua Raticlife;R. Raticlife;S;Via Pavimentada;;;876;BARRO
56774;RUA DR RAUL LAFAYETTE;Rua Dr Raul Lafayette;R. Dr Raul Lafayette;S;Via Pavimentada;;;205;BOA VIAGEM
56782;RUA RAUL SOARES;Rua Raul Soares;R. Raul Soares;S;Via Pavimentada;;;884;COHAB
56790;RUA COMPOSITOR RAUL VALENCA;Rua Compositor Raul Valença;R. Comp Raul Valenca;P;Via Parcialmente Pavimentada;;;396;DOIS UNIDOS
56790;RUA COMPOSITOR RAUL VALENCA;Rua Compositor Raul Valença;R. Comp Raul Valenca;P;Via Parcialmente Pavimentada;;;400;PASSARINHO
56804;RUA RAVENA;Rua Ravena;R. Ravena;S;Via Pavimentada;;;566;NOVA DESCOBERTA
56812;RUA REAL;Rua Real;R. Real;N;Via Não Pavimentada;;;868;JARDIM SAO PAULO
56820;EST REAL DO POCO;Estrada Real do Poço;Est Real do Poço;S;Via Pavimentada;;;477;POCO
56952;RUA DA REGENERACAO;Rua da Regeneração;R. da Regeneracao;P;Via Parcialmente Pavimentada;CTM;2a perime*;329;ARRUDA
56952;RUA DA REGENERACAO;Rua da Regeneração;R. da Regeneracao;P;Via Parcialmente Pavimentada;CTM;2a perime*;337;AGUA FRIA
56960;RUA REGINA;Rua Regina;R. Regina;S;Via Pavimentada;;;582;MACAXEIRA
56960;RUA REGINA;Rua Regina;R. Regina;S;Via Pavimentada;;;566;NOVA DESCOBERTA
56944;RUA REGENCIA;Rua Regência;R. Regencia;P;Via Parcialmente Pavimentada;;;35;SAO JOSE
56987;RUA JOSE BAPTISTA DE ALMEIDA;Rua José Baptista de Almeida;R. José Baptista de Almeida;S;Via Pavimentada;;;35;SAO JOSE
56995;RUA AVIADOR REGO BARROS;Rua Aviador Rego Barros;R. Aviador Rego Barros;S;Via Pavimentada;;;558;VASCO DA GAMA
56839;RUA REAL DA TORRE;Rua Real da Torre;R. Real da Torre;S;Via Pavimentada;CTM;2a perime*;655;TORRE
56839;RUA REAL DA TORRE;Rua Real da Torre;R. Real da Torre;S;Via Pavimentada;CTM;2a perime*;647;MADALENA
56847;RUA REALENGO;Rua Realengo;R. Realengo;N;Via Não Pavimentada;;;779;AFOGADOS
56855;RUA REALEZA;Rua Realeza;R. Realeza;N;Via Não Pavimentada;;;868;JARDIM SAO PAULO
56863;RUA CAPITAO REBELINHO;Rua Capitão Rebelinho;R. Cap Rebelinho;S;Via Pavimentada;;;248;PINA
56871;AV RECIFE;Avenida Recife;Av Recife;S;Via Pavimentada;CTM;3a perime*;752;CURADO
56871;AV RECIFE;Avenida Recife;Av Recife;S;Via Pavimentada;CTM;3a perime*;710;ENGENHO DO MEIO
56871;AV RECIFE;Avenida Recife;Av Recife;S;Via Pavimentada;CTM;3a perime*;841;CACOTE
56871;AV RECIFE;Avenida Recife;Av Recife;S;Via Pavimentada;CTM;3a perime*;213;IPSEP
56871;AV RECIFE;Avenida Recife;Av Recife;S;Via Pavimentada;CTM;3a perime*;701;TORROES
56871;AV RECIFE;Avenida Recife;Av Recife;S;Via Pavimentada;CTM;3a perime*;817;SAN MARTIN
56871;AV RECIFE;Avenida Recife;Av Recife;S;Via Pavimentada;CTM;3a perime*;868;JARDIM SAO PAULO
56871;AV RECIFE;Avenida Recife;Av Recife;S;Via Pavimentada;CTM;3a perime*;850;AREIAS
56871;AV RECIFE;Avenida Recife;Av Recife;S;Via Pavimentada;CTM;3a perime*;833;ESTANCIA
56871;AV RECIFE;Avenida Recife;Av Recife;S;Via Pavimentada;CTM;3a perime*;230;IBURA
56880;RUA MARQUES DO RECIFE;Rua Marquês do Recife;R. Marques do Recife;S;Via Pavimentada;;;27;SANTO ANTONIO
56928;RUA REDENTOR;Rua Redentor;R. Redentor;S;Via Pavimentada;;;434;CASA AMARELA
57002;RUA REGO MELO;Rua Rego Melo;R. Rego Melo;S;Via Pavimentada;;;60;COELHOS
57010;RUA REGO MONTEIRO;Rua Rego Monteiro;R. Rego Monteiro;S;Via Pavimentada;;;698;IPUTINGA
57029;RUA REGUEIRA COSTA;Rua Regueira Costa;R. Regueira Costa;S;Via Pavimentada;;;183;ROSARINHO
57045;RUA ARQUITETO REINALDO ALVES MAIA;Rua Arquiteto Reinaldo Alves Maia;R. Arquiteto Reinaldo Alves Maia;S;Via Pavimentada;;;884;COHAB
57061;EST DOS REMEDIOS;Estrada dos Remédios;Est. dos Remédios;S;Via Pavimentada;CTM;2a perime*;647;MADALENA
57061;EST DOS REMEDIOS;Estrada dos Remédios;Est. dos Remédios;S;Via Pavimentada;CTM;2a perime*;760;ILHA DO RETIRO
57061;EST DOS REMEDIOS;Estrada dos Remédios;Est. dos Remédios;S;Via Pavimentada;CTM;2a perime*;779;AFOGADOS
57088;RUA VITORIA REGIA;Rua Vitória Régia;R. Vitoria Regia;S;Via Pavimentada;;;400;PASSARINHO
57100;RUA RENATO DE MEDEIROS;Rua Renato de Medeiros;R. Renato de Medeiros;S;Via Pavimentada;;;647;MADALENA
57118;RUA S D 5718;Rua S D 5718;R. S D 5718;S;Via Pavimentada;;;388;LINHA DO TIRO
57347;RUA RIBEIRAO CLARO;Rua Ribeirão Claro;R. Ribeirão Claro;N;Via Não Pavimentada;;;345;FUNDAO
57355;RUA RIBEIRAO DAS NEVES;Rua Ribeirão das Neves;R. Ribeirão das Neves;S;Via Pavimentada;;;884;COHAB
57355;RUA RIBEIRAO DAS NEVES;Rua Ribeirão das Neves;R. Ribeirão das Neves;S;Via Pavimentada;;;230;IBURA
57363;RUA RIBEIRAO DO PINHAL;Rua Ribeirão do Pinhal;R. Ribeirão do Pinhal;S;Via Pavimentada;;;230;IBURA
